标题,来源,开始时间,结束时间,链接
﻿乌海能源各单位矿2021年5月煤矿加固煤岩体用聚氨酯材料询价采购,国能e购www.neep.shop,2021-05-19 17:13:30,2021-05-22 18:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177743.html
信息公司-大雁公司雁南煤矿矿用设备监察管理系统数据接入工程项目数据接入软硬件-询价采购,国能e购www.neep.shop,2021-05-19 16:50:07,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177714.html
信息公司-国神府谷电厂智能发电示范项目_网络安全新增设备-物资-询价采购,国能e购www.neep.shop,2021-05-19 16:47:52,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177712.html
准能集团准能公司安全宣传片服务项目询价采购,国能e购www.neep.shop,2021-05-19 18:19:57,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177950.html
重庆公司2021年财务审计顾问服务询价采购,国能e购www.neep.shop,2021-05-19 17:58:18,2021-05-24 16:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177922.html
河南公司孟津公司1号机组主机润滑油液相锈蚀超标治理项目询价采购,国能e购www.neep.shop,2021-05-19 17:51:44,2021-05-24 16:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177920.html
准能集团哈尔乌素安全信息电子公示牌设备询价采购,国能e购www.neep.shop,2021-05-19 20:30:28,2021-05-25 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2178126.html
国神公司宝清电厂信息系统运维外包服务项目SGEG-FZB-2021-D5-KXH-1333询价采购,国能e购www.neep.shop,2021-05-19 22:42:02,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2178224.html
甘肃公司甘肃新能源本部信息化办公设备购置询价采购(2次挂网),国能e购www.neep.shop,2021-05-19 15:52:07,2021-05-22 16:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177601.html
国电电力国电建投内蒙古能源有限公司-布连电厂脱硝还原剂制备系统改造安全三同时、职业卫生三同时、环评及验收技术服务-服务-询价采购,国能e购www.neep.shop,2021-05-19 15:51:36,2021-05-24 16:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177599.html
国电置业有限公司北京昌平中心-西区避雷装置检测服务-询价采购,国能e购www.neep.shop,2021-05-19 15:48:34,2021-05-25 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177592.html
贵州公司红枫水电红岩电站压力钢管及溢洪闸门安全监测询价采购(2次挂网),国能e购www.neep.shop,2021-05-19 15:48:09,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177584.html
信息公司-智能堆取料无人作业系统1.0研发项目智能控制器联合研发试制服务-询价采购,国能e购www.neep.shop,2021-05-19 15:41:50,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177577.html
国能信息技术有限公司神维分公司信息安全态势感知及监测节点扩容项目态势感知设备-物资类-询价采购,国能e购www.neep.shop,2021-05-19 15:17:15,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177540.html
广东公司台山电厂抗干扰防护罩询价采购,国能e购www.neep.shop,2021-05-19 10:54:35,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177050.html
国电电力大同发电网络安全隔离器物资询价采购,国能e购www.neep.shop,2021-05-19 11:22:32,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177122.html
河南公司荥阳公司重点区域视频监控接入集团应急指挥系统项目询价采购,国能e购www.neep.shop,2021-05-19 11:32:05,2021-05-24 11:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177170.html
科环集团国能智深YZ20-002工业互联网重要资源测绘与安全分析平台项目-紧凑型导轨式串口服务器询价采购(2次挂网),国能e购www.neep.shop,2021-05-19 13:39:59,2021-05-24 17:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177310.html
龙源电力中能公司2021年网络安全测评部测评软件采购项目询价采购(2次挂网),国能e购www.neep.shop,2021-05-19 14:19:26,2021-05-23 10:30:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/2177362.html
﻿国电南京自动化股份有限公司招标项目-20南自财务信息化项目软件产品用户授权采...,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/zhaobiaogg/2021/05/19/zhaobiaogg_2761439_13083.html
S广安公司三期氢站安全现状评价项目采购公告（第二次）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761411_995865.html
xd20210202001229-05防火墙,华电集团www.chdtp.com.cn,2021-05-18,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761092_995338.html
华电联合中核项目监控设备采购（第二次）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2760962_995454.html
继电保护故障信息处理系统子站配置更新询价（第二次）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2760958_995431.html
2021年10月-2022年9月燃机火灾报警系统检测（第三次）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761052_995437.html
华电阜康热电公司电力监控系统网络专项检查问题整改项目,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761198_995685.html
华电新疆新能源分公司安防系统设备维护,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761185_995708.html
新华三交换机（南京地铁S8号线南延线工程综合监控系统）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761224_995536.html
华电国际十里泉发电厂3号榴园贮灰场安全评估项目,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761277_995660.html
隆德煤矿生产安全事故应急预案编制,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761263_995566.html
新能源分公司小草湖风场门极板、监控板采购（5月）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761349_995650.html
新能源分公司小草湖风场箱变监控插件采购（5月）,华电集团www.chdtp.com.cn,2021-05-19,,https://www.chdtp.com.cn/staticPage/ormd/2021/05/19/ormd_2761347_995658.html
﻿蒙达(1320MW)330MW热控安全保护施工(9%)202105延期询价公告202105191636,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857567
2021年05月19日华能甘肃能源开发有限公司本部华能甘谷发电有限公司厂区监控设备及线路整改项目询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857632
【华能新能源股份有限公司蒙东分公司信息系统安全等级保护测评、安全防护评估及网络安全技术保障服务】招标公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857696
【华能董家口2×35万千瓦热电联产项目信息机房工程】招标公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857651
2021年05月19日华能山东发电有限公司众泰电厂华能泰安2×9F级燃气蒸汽联合循环热电联产工程项目安全预评价项目询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857526
2021年05月19日西安热工研究院有限公司本部西安热工院生产项目-多影响因素下的故障信息传递算法开发（202101631）询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857518
2021年05月19日华能青岛热电有限公司华能董家口2X35万千瓦热电联产项目第六批辅机继电保护及故障信息管理子站和同步相量测量装置采购（重新询价）询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857499
2021年05月19日华能通辽风力发电有限公司华能蒙东分公司安全生产标准化建设及查评技术服务询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857430
2021年05月19日华能能源交通产业控股有限公司集团公司物资供应中心（辽宁区域）5月份集中物资供应--华能国际电力股份有限公司营口电厂火焰控制检测设备、摄像头、工控机备件采购包（9）询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857414
2021年05月19日华能（菏泽东明）新能源有限公司华能菏泽东明风电80MW项目消防设备设施检测询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857379
2021年05月19日中国华能财务有限责任公司财务公司web应用安全网关设备采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857369
2021年05月19日内蒙古北方蒙西发电公司蒙西(600MW)工控机及防火墙(一票制)202105询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857096
2021年05月19日天津华能杨柳青热电有限责任公司天津华能杨柳青热电实业有限公司股权转让财务专项审计询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857009
2021年05月19日华能国际电力股份有限公司上安电厂上安电厂LED显示屏外委修理(信息中心）（询价文件）询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857315
2021年05月19日华能澜沧江水电股份有限公司景洪水电厂景洪电厂新监控系统机房装修及配套设施检修、完善询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857165
2021年05月19日北方电力包头第一热电厂包一新厂(600MW)劳保安全防护用品(一票制)202105询价书询价公告,华能集团http://ec.chng.com.cn,2021-05-19,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11857164
﻿【内蒙古呼和浩特抽水蓄能发电有限责任公司大坝安全定期检查单源直接采购】采购公告,内蒙古电力集团http://impc.e-bidding.org/,2020-05-19,,http://impc.e-bidding.org/biddingBulletin/2021-05-19/57324.html
【鄂尔多斯电业局2021年第二批安全费、电力设施保护费服务项目询比采购】招标公告,内蒙古电力集团http://impc.e-bidding.org/,2020-05-19,,http://impc.e-bidding.org/biddingBulletin/2021-05-19/57331.html
【鄂尔多斯电业局2021年第二批安全费、电力设施保护费服务项目竞价采购】招标公告,内蒙古电力集团http://impc.e-bidding.org/,2020-05-19,,http://impc.e-bidding.org/biddingBulletin/2021-05-19/57330.html
