来源,标题,开始时间,结束时间,链接
﻿货物,国电福州发电有限公司#1、2机组热工环保设施优化改造物资（氧氮气体分析仪等）招标采购【二次挂网】招标公告,2019-04-26 09:00,2019-05-08 16:00,http://www.cgdcbidding.com:80/ggsb/28328.jhtml
﻿货物,国电黄金埠发电有限公司#1、#2冷却塔换热层材料招标采购招标公告,2019-04-26 09:00,2019-05-08 16:00,http://www.cgdcbidding.com:80/ggsb/28339.jhtml
﻿货物,国电黄金埠发电有限公司#1、#2机6KVF+C开关柜换型改造招标采购招标公告,2019-04-26 09:00,2019-05-08 16:00,http://www.cgdcbidding.com:80/ggsb/28340.jhtml
﻿货物,国电福州发电有限公司一、二期燃煤机组火检探头及放大器招标采购【二次挂网】招标公告,2019-04-26 09:00,2019-05-08 16:00,http://www.cgdcbidding.com:80/ggsb/28341.jhtml
﻿货物,国电浙江北仑第一（三）发电有限公司磨煤机辊套和衬瓦堆焊（二年）【二次挂网】招标公告,2019-04-25 09:00,2019-05-06 16:00,http://www.cgdcbidding.com:80/ggsb/28293.jhtml
﻿货物,国电电力内蒙古天和风电场风机发电能力提升项目塔筒采购【二次挂网】招标公告,2019-04-24 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28300.jhtml
﻿货物,内蒙古平西白音华煤业有限公司煤矿大客车购置招标公告,2019-04-24 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28301.jhtml
﻿货物,国电电力大连开发区热电厂脱硫石灰石采购项目招标公告,2019-04-25 09:00,2019-05-07 16:00,http://www.cgdcbidding.com:80/ggsb/28308.jhtml
﻿货物,北京朗新明环保科技有限公司国电驻马店热电有限公司全厂废水综合治理（废水分级利用及化学制水系统增容）工程项目非标设备招标公告,2019-04-24 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28312.jhtml
﻿货物,国电大武口热电有限公司  增设水质预处理设备 （锅炉补给水预脱盐处理）招标公告,2019-04-25 09:00,2019-05-07 16:00,http://www.cgdcbidding.com:80/ggsb/28318.jhtml
﻿货物,云南杨梅山风电场SVG技改项目静止型动态无功补偿成套装置采购项目（含安装）招标公告,2019-04-25 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28326.jhtml
﻿货物,元宝山发电有限责任公司S70.45磨煤机叶轮用堆焊打击板采购招标公告,2019-04-24 09:00,2019-05-07 16:00,http://www.cgdcbidding.com:80/ggsb/28228.jhtml
﻿货物,辽宁阜新彰武鸡冠山（44MW）风电项目电力电缆（设备）招标公告,2019-04-24 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28231.jhtml
﻿货物,山东栖霞桃村（48MW）风电项目二次设备招标公告,2019-04-24 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28232.jhtml
﻿货物,国电联合动力技术有限公司2019年度风机安全带（框架）【二次挂网】招标公告,2019-04-24 09:00,2019-05-07 16:00,http://www.cgdcbidding.com:80/ggsb/28266.jhtml
﻿货物,国电重庆丰都回山坪风电场（80MW） EPC项目电缆【重新招标】招标公告,2019-04-23 09:00,2019-04-29 16:00,http://www.cgdcbidding.com:80/ggsb/28268.jhtml
﻿货物,辽宁阜新彰武鸡冠山（44MW）风电项目风机塔筒及附件（设备）采购项目招标公告,2019-04-23 09:00,2019-04-29 16:00,http://www.cgdcbidding.com:80/ggsb/28269.jhtml
﻿货物,北京国电龙源环保工程有限公司宿迁分公司2019年上半年脱硫石灰石（标段Ⅱ）【二次挂网】招标公告,2019-04-23 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28276.jhtml
﻿货物,北京国电龙源环保工程有限公司宿迁分公司2019年上半年脱硫石灰石（标段Ⅰ）【二次挂网】招标公告,2019-04-23 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28277.jhtml
﻿货物,国电联合动力技术有限公司2019年度铅粒招标公告,2019-04-24 09:00,2019-05-06 16:00,http://www.cgdcbidding.com:80/ggsb/28278.jhtml
﻿货物,国电建投内蒙古能源有限公司察哈素煤矿31317综采工作面液压支架采购项目招标公告,2019-04-24 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28283.jhtml
﻿货物,国电建投内蒙古能源有限公司察哈素煤矿31317工作面顺槽可伸缩胶带输送机采购项目招标公告,2019-04-24 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28284.jhtml
﻿货物,国电河南后地一期50MW风电项目风力发电机组设备采购【二次挂网】招标公告,2019-04-24 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28285.jhtml
﻿货物,国电迪庆香格里拉公司冲江河电站1、2、3号机组及2号主变保护改造招标公告,2019-04-24 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28295.jhtml
﻿货物,国电迪庆香格里拉公司螺丝湾、冲江河、吉沙电站光设备改造招标公告,2019-04-24 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28296.jhtml
﻿货物,国电迪庆香格里拉公司小中甸、冲江河、螺丝湾电站通信电源系统改造招标公告,2019-04-24 09:00,2019-05-05 16:00,http://www.cgdcbidding.com:80/ggsb/28297.jhtml
﻿货物,国电智深承揽类设备制造及集成采购DCS用工控机（2019年框架）招标公告,2019-04-23 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28298.jhtml
